DialogueID;VoiceID;Page;Clip_L1;
DID_Coach_End;EXAVITQu4vr4xnSDxMaL;1;ElevenLabs/TextToSpeech/Bella/278e8ba6-7036-3b47-ad18-1bdcaa4a154a.mp3;
DID_Lusha_Session2_1colere1;EXAVITQu4vr4xnSDxMaL;1;ElevenLabs/TextToSpeech/Bella/cb7ca3c7-f0e7-683c-5ab8-690d0661d4bf.mp3;
DID_Lusha_Session2_1colere1;EXAVITQu4vr4xnSDxMaL;2;ElevenLabs/TextToSpeech/Bella/7ec005ad-86a5-5ca1-97b9-082c4831e7e0.mp3;
DID_Lusha_Session2_1colere1_end;EXAVITQu4vr4xnSDxMaL;1;ElevenLabs/TextToSpeech/Bella/c01dc0b6-3887-9404-c168-42cd1168d72c.mp3;
DID_Lusha_Session2_1colere2;EXAVITQu4vr4xnSDxMaL;1;ElevenLabs/TextToSpeech/Bella/9e1084b3-a5c8-6cb4-8e4c-05d4cf56ad6b.mp3;
DID_Lusha_Session2_1colere2;EXAVITQu4vr4xnSDxMaL;2;ElevenLabs/TextToSpeech/Bella/298c0ea9-c9d5-7efc-0dfd-48031cebc839.mp3;
DID_Lusha_Session2_1colere3;EXAVITQu4vr4xnSDxMaL;1;ElevenLabs/TextToSpeech/Bella/b78d47c7-934a-1067-43e6-a24b551184fd.mp3;
DID_Lusha_Session2_1colere3;EXAVITQu4vr4xnSDxMaL;2;ElevenLabs/TextToSpeech/Bella/6608990b-a938-52fc-559b-38272570ccf5.mp3;
DID_Lusha_Session2_1colere4;EXAVITQu4vr4xnSDxMaL;1;ElevenLabs/TextToSpeech/Bella/c0e729b9-3359-be08-5cb6-72ae9f0a47e3.mp3;
DID_Lusha_Session2_1colere4;EXAVITQu4vr4xnSDxMaL;2;ElevenLabs/TextToSpeech/Bella/39b9b2f2-c0f7-6aed-2ef2-3f5a681a453f.mp3;
DID_Lusha_Session2_1colere4;EXAVITQu4vr4xnSDxMaL;3;ElevenLabs/TextToSpeech/Bella/29ca134e-abd3-618d-107d-e5a9596a177d.mp3;
DID_Lusha_Session2_1colere4;EXAVITQu4vr4xnSDxMaL;4;ElevenLabs/TextToSpeech/Bella/030fa2f1-3ba1-dcf3-d0aa-85e0e2ef2f3a.mp3;
DID_Lusha_Session2_1colere4_end;EXAVITQu4vr4xnSDxMaL;1;ElevenLabs/TextToSpeech/Bella/c01dc0b6-3887-9404-c168-42cd1168d72c.mp3;
DID_Lusha_Session2_1colere5;EXAVITQu4vr4xnSDxMaL;1;ElevenLabs/TextToSpeech/Bella/3c58555c-c6a7-a654-5729-35f15352f771.mp3;
DID_Lusha_Session2_1colere5;EXAVITQu4vr4xnSDxMaL;2;ElevenLabs/TextToSpeech/Bella/0efc442c-037c-d052-b4db-673ea985b588.mp3;
DID_Lusha_Session2_1colere5;EXAVITQu4vr4xnSDxMaL;3;ElevenLabs/TextToSpeech/Bella/39f62b08-8ade-0e75-cf3d-6a512092a0bf.mp3;
DID_Lusha_Session2_1colere6;EXAVITQu4vr4xnSDxMaL;1;ElevenLabs/TextToSpeech/Bella/ca5026cc-592e-5f5e-19d0-f7f4d42507c2.mp3;
DID_Lusha_Session2_1colere6;EXAVITQu4vr4xnSDxMaL;2;ElevenLabs/TextToSpeech/Bella/452d1cdb-2e0f-ce50-9d5f-0100919b42d3.mp3;
